Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,prereg_experience,dev_experience,dev_reputation_1,report_experience,report_reputation_1,report_reputation_2,prereg_barriers_1,prereg_barriers_2,prereg_barriers_3,report_consequences_1,report_consequences_2,report_consequences_3,assessed_cr_tr_a_1,assessed_cr_tr_a_2,cr_factors_a,tr_factors_a,assessed_cr_tr_b_1,assessed_cr_tr_b_2,cr_factors_b,tr_factors_b,assessed_cr_tr_c_1,assessed_cr_tr_c_2,cr_factors_c,tr_factors_c,fishy_c,assessed_cr_tr_d_1,assessed_cr_tr_d_2,cr_factors_d,tr_factors_d,fishy_d,practices_perception_1,practices_perception_2,practices_perception_3,requirement,guidance,norms,training,research_area,phd_defense,phd_defense_2_TEXT,country,scenario_version
100,259,True,2024-03-07 17:41:33,R_5JzyDn1PF7zZ02I,email,EN,Yes,No,NA,NA,NA,NA,NA,I agree,I don't agree,I don't agree,less,the same / equally,the same / equally,NA,NA,NA,NA,86,92,"sample size,statistical methods,study design,wording of the text,hypotheses","sample size,statistical methods,study design,wording of the text,hypotheses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,26,7,none,my PI or collaborators.,I don't agree,No,Multidisciplinary,Year of my PhD defense:,2004,United States,B
100,439,True,2024-03-08 02:07:31,R_4KBAgwejHwNphNK,email,EN,Yes,No,NA,NA,NA,NA,NA,I rather don't agree,I rather agree,I agree,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,75,"sample size,statistical methods,study design,hypotheses,information about deviations from the original plan","statistical methods,study design,hypotheses,information about deviations from the original plan",I thought it was a good decision,60,60,70,my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.,I rather agree,No,Psychiatry / Psychology,Year of my PhD defense:,2007,China,D
100,424,True,2024-03-08 08:50:15,R_2dFZTJ992LEuYPg,email,EN,Yes,Yes,Yes,I rather don't agree,Yes,I agree,NA,NA,NA,NA,the same / equally,less,more,NA,NA,NA,NA,NA,NA,NA,NA,80,92,"research field,sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan,other:","statistical methods,study design,wording of the text,information about preregistration,information about deviations from the original plan",I was indifferent about it,NA,NA,NA,NA,NA,98,25,22,none,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",I don't agree,Yes,Psychiatry / Psychology,Year of my PhD defense:,2015,Norway,C
100,642,True,2024-03-08 11:40:44,R_36gmFDrcBSIMzzr,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,the same / equally,the same / equally,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,68,"research field,study design,hypotheses","study design,wording of the text",I thought it was fishy,70,60,10,none,my PI or collaborators.,I rather agree,I don't know,Psychiatry / Psychology,Year of my PhD defense:,2024,Magyarország,D
100,198,True,2024-03-12 10:16:30,R_4iISZNvMvyuVdUx,email,EN,Yes,Yes,Yes,I don't agree,Yes,I don't agree,NA,NA,NA,NA,the same / equally,less,less,66,50,"sample size,statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan",other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,61,48,else:,else:,I don't agree,No,Social Sciences,I haven't had a PhD defense,-99,Switzerland,A
100,843,True,2024-03-12 10:18:39,R_8kuZTH0reZAMCF1,email,EN,Yes,No,NA,NA,NA,NA,NA,I rather don't agree,I rather don't agree,I agree,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,75,70,"information about preregistration,other:","wording of the text,information about preregistration,information about deviations from the original plan",I thought it was fishy,NA,NA,NA,NA,NA,80,30,50,"my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.",the journal where I would like to submit my paper/I have submitted my paper.,I rather agree,Yes,Clinical Medicine,I haven't had a PhD defense,-99,Germany,C
100,327,True,2024-03-12 10:20:52,R_5CHgNIQfPhqOMtJ,email,EN,Yes,No,NA,NA,NA,NA,NA,I agree,I don't know,I don't agree,less,less,less,NA,NA,NA,NA,70,91,"sample size,statistical methods,study design,hypotheses","statistical methods,study design,wording of the text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,20,50,none,none,I don't agree,No,Other:,Year of my PhD defense:,2005,Netherlands,B
100,213,True,2024-03-12 10:24:39,R_2aLxET7J8GTP7dj,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,more,more,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,43,"sample size,statistical methods,study design,information about preregistration,information about deviations from the original plan","study design,information about preregistration",I thought it was fishy,62,38,62,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.","my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",I rather agree,Yes,Social Sciences,Year of my PhD defense:,2014,Denmark,D
100,303,True,2024-03-12 10:26:14,R_4q7rP6HOSOkAEKw,email,EN,Yes,Yes,Yes,I rather agree,No,NA,I rather agree,NA,NA,NA,the same / equally,the same / equally,the same / equally,8,8,statistical methods,statistical methods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,17,71,none,none,I rather agree,No,Other:,I haven't had a PhD defense,-99,USA,A
100,115,True,2024-03-12 10:28:10,R_4IW9VUj5MkyTFPf,email,EN,Yes,No,NA,NA,NA,NA,NA,I don't know,I don't know,I agree,the same / equally,the same / equally,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,83,"research field,sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan","research field,sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan",I thought it was a good decision,86,27,83,none,none,I don't know,Yes,Clinical Medicine,Year of my PhD defense:,2018,Korea,D
